sentence,target
我星期五早上要請假半小時,leave
我早上遲到要請假半小時,leave
我想要請星期一到三的年假,leave
明天請特休一天,leave
幫我請 7/12 早上事假半天,leave
7/22到7/25 請特休假,leave
幫我請特休,leave
明天家裡有事 麻煩幫我送假單,leave
我明天不進公司 請幫我補假單,leave
我星期五回診 請幫我送假單,leave
明天幫我請特休假,leave
下午幫我請事假,leave
今天身體不舒服，幫我請病假,leave
肚子痛幫我請假,leave
明天請假,leave
我7/25到7/31要出國，請幫我請特休假,leave
我7/24要受訓，幫我請公假,leave
我下星期四要受訓，幫我請假,leave
我明天要請假，請幫我填假單,leave
麻煩幫我填明天的假單,leave
請幫我完成請假申請，謝謝,leave
明天請幫我請假，整天,leave
明天請幫我請假，早上半天,leave
明天請幫我請假，8點到10點,leave
明天有事,leave
幫我跟老闆請個假,leave
明天不進公司,leave
今天不想上班,leave
我突然有事情，可以幫我請假嗎,leave
請假的事情可以問你嗎,leave
請假你能幫忙嗎,leave
我要請病假,leave
我明天要請事假,leave
請幫我請07/16,leave
07/16早上要請假修車,leave
明天要請假，我要看醫生,leave
麻煩幫我請這周五跟下周一，要去旅遊,leave
請幫我向老闆請假4小時，我車子拋錨了,leave
幫我請出差假 7/14~7/25,leave
明天不來公司,leave
我要去上課，不能來公司,leave
我生病了，不能去公司,leave
請幫我請假7月13號下午特休假,leave
請幫我查詢哪天還沒請假,leave
我明天請假,leave
我明天可能請個假,leave
我明天想請假,leave
我要請特休假,leave
幫我送假單,leave
7/12請特休8小時,leave
請幫我請7/12特休8小時,leave
7/12特休8小時,leave
能否幫忙請個假,leave
幫我上BPM開假單,leave
休假,leave
我禮拜一要請假,leave
我十月十日要請假,leave
我週三要請假,leave
不想上班,leave
明天不來,leave
送假單,leave
申請休假,leave
今天天氣如何,weather
現在天氣狀況如何,weather
現在氣溫幾度,weather
有沒有下雨,weather
今天林口天氣,weather
今天旁晚天氣如何,weather
今天下午5:00會下雨嗎,weather
今天外面天氣如何,weather
今天天氣怎麼樣阿,weather
今天天氣預報怎麼樣阿,weather
今天幾度,weather
今天冷嗎,weather
要帶雨傘嗎,weather
助理 報告氣象,weather
外面天氣如何,weather
今天適合出去玩嗎,weather
今天很熱嗎,weather
今天我需要帶傘嗎,weather
今天會很熱嗎,weather
今天我出門需要帶外套嗎,weather
今天傍晚適合跑步嗎,weather
明天會不會下雨,weather
週末天氣如何,weather
我想知道台北的天氣,weather
今天出門會下雨嗎,weather
外面太陽很大嗎,weather
什麼時候放晴,weather
今天下午會下雨嗎,weather
天氣好嗎今天,weather
明天台北降雨機率多少呢,weather
今天下雨機率如何,weather
今天需要擦防曬嗎,weather
明天幾度,weather
明天適合開車嗎,weather
颱風什麼時候到,weather
外面氣溫幾度,weather
明天台北會不會下雨,weather
最近是否有颱風豪大雨,weather
台東今天風大不大,weather
請問明天高雄會下雪嗎,weather
給我這個星期的天氣預報,weather
這個星期什麼時候會有颱風,weather
明天氣溫如何,weather
今天濕度呢,weather
今天最高溫幾度,weather
明天要帶雨衣嗎,weather
明天大太陽嗎,weather
墾丁週末旅遊天氣,weather
台中明天最高溫跟最低溫,weather
台北明天的降雨機率跟溼度,weather
桃園下週的平均溫度,weather
天氣幾度,weather
幫忙看看天氣預報,weather
要穿羽毛外套嗎,weather
太陽大嗎,weather
一週天氣預報,weather
請給我現在天氣的資訊,weather
今天空氣品質怎樣,weather
現在室外幾度呢,weather
今天幾度,weather
明天穿甚麼,weather
明天可以出去玩嗎,weather
